,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
50,NCE-PLRec,100,1,100,10,Cosine,0,0.8,,"[0.1586, 0.0004]","[0.1077, 0.0004]","[0.1004, 0.0003]","[0.0948, 0.0003]","[0.1186, 0.0005]","[0.0759, 0.0002]","[0.0887, 0.0003]","[0.08, 0.0004]","[0.1076, 0.0005]","[0.1315, 0.0005]","[0.0463, 0.0003]","[0.2332, 0.0006]"
51,NCE-PLRec,100,1,100,10,Cosine,0,0.9,,"[0.1633, 0.0004]","[0.1096, 0.0004]","[0.1026, 0.0003]","[0.097, 0.0003]","[0.1199, 0.0005]","[0.0776, 0.0002]","[0.0906, 0.0003]","[0.0828, 0.0004]","[0.112, 0.0005]","[0.137, 0.0005]","[0.0476, 0.0003]","[0.2423, 0.0006]"
52,NCE-PLRec,100,1,100,10,Cosine,0,1.0,,"[0.1689, 0.0004]","[0.1109, 0.0004]","[0.1043, 0.0003]","[0.099, 0.0003]","[0.1209, 0.0005]","[0.0797, 0.0002]","[0.0921, 0.0003]","[0.085, 0.0004]","[0.1158, 0.0005]","[0.1423, 0.0005]","[0.0489, 0.0003]","[0.2538, 0.0007]"
53,NCE-PLRec,100,1,100,10,Cosine,0,1.1,,"[0.1744, 0.0004]","[0.1111, 0.0004]","[0.1048, 0.0003]","[0.1002, 0.0003]","[0.1208, 0.0005]","[0.0817, 0.0002]","[0.0929, 0.0003]","[0.0871, 0.0004]","[0.1192, 0.0005]","[0.1478, 0.0006]","[0.05, 0.0003]","[0.2665, 0.0007]"
54,NCE-PLRec,100,1,100,10,Cosine,0,1.2,,"[0.1641, 0.0004]","[0.1083, 0.0004]","[0.1019, 0.0003]","[0.0971, 0.0003]","[0.1181, 0.0005]","[0.0799, 0.0002]","[0.0888, 0.0003]","[0.0791, 0.0004]","[0.1083, 0.0005]","[0.134, 0.0005]","[0.0452, 0.0003]","[0.2488, 0.0007]"
55,NCE-PLRec,100,1,100,10,Cosine,0,1.3,,"[0.1391, 0.0004]","[0.0992, 0.0004]","[0.0935, 0.0003]","[0.0892, 0.0003]","[0.1082, 0.0005]","[0.0744, 0.0002]","[0.0785, 0.0003]","[0.0609, 0.0003]","[0.0839, 0.0004]","[0.1047, 0.0004]","[0.0345, 0.0003]","[0.2031, 0.0006]"
56,NCE-PLRec,100,1,1000,10,Cosine,0,0.7,,"[0.1554, 0.0004]","[0.1065, 0.0004]","[0.099, 0.0003]","[0.0934, 0.0003]","[0.1178, 0.0005]","[0.0747, 0.0002]","[0.0874, 0.0003]","[0.0779, 0.0004]","[0.1047, 0.0004]","[0.1276, 0.0005]","[0.0454, 0.0003]","[0.2268, 0.0006]"
57,NCE-PLRec,100,1,1000,10,Cosine,0,0.8,,"[0.1586, 0.0004]","[0.1077, 0.0004]","[0.1004, 0.0003]","[0.0948, 0.0003]","[0.1186, 0.0005]","[0.0759, 0.0002]","[0.0887, 0.0003]","[0.08, 0.0004]","[0.1076, 0.0005]","[0.1315, 0.0005]","[0.0463, 0.0003]","[0.2332, 0.0006]"
58,NCE-PLRec,100,1,1000,10,Cosine,0,0.9,,"[0.1633, 0.0004]","[0.1096, 0.0004]","[0.1026, 0.0003]","[0.097, 0.0003]","[0.1199, 0.0005]","[0.0776, 0.0002]","[0.0906, 0.0003]","[0.0828, 0.0004]","[0.112, 0.0005]","[0.137, 0.0005]","[0.0476, 0.0003]","[0.2423, 0.0006]"
59,NCE-PLRec,100,1,1000,10,Cosine,0,1.0,,"[0.1689, 0.0004]","[0.1109, 0.0004]","[0.1043, 0.0003]","[0.099, 0.0003]","[0.1209, 0.0005]","[0.0797, 0.0002]","[0.0921, 0.0003]","[0.085, 0.0004]","[0.1158, 0.0005]","[0.1423, 0.0005]","[0.0489, 0.0003]","[0.2538, 0.0007]"
